 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 生物医用材料 王连永 百分制/绩点制 基本上每节课会在一张传的纸上签字，王连永老师要求不能坐后三排 85-89/3.5-3.9 上课比较无聊就是念ppt 快结课时要求写一篇生物材料有关的小论文，类似一篇推送，会给参考 开卷考试，但是考试较难，内容很多，主要是给分不好，一次签名都没差 生命科学学院
 进化生物学 肖金花 百分制/绩点制 经常签到，老师会找同学喊名字点名 85-89/3.5-3.9 比较难，也是念ppt，但是老师很年轻温柔 期中有个论文是把一篇进化有关的英文论文做精读报告 期末是利用老师上课讲的进化学原理，写一篇论文，有点难但还好 生命科学学院
 有机化学 王宝雷 百分制/绩点制 点名 未出分 授课内容当然就是有机化学、老师讲课风格生动有趣、关键是能把每一个重点讲的特别清楚而有趣，上课氛围也比较轻松愉快。总之，听课的效率很高~ 当然有机这门课的任务量还是非常大的_任务：就是课后习题作业，占用精力很大，毕竟是专业必修的难课。 百分制，有机内容，难度倒是不大，就是课后习题的难度，就是知识量特别大。 生命科学学院
 动物生理学 赵强 百分制/绩点制 有，但不是每节课 90-94/4.0 老师人很好，讲的也很棒，能学到很多东西，而且有课本外的扩展。老师作业批的特别认真，每次都有评语，还有优秀作业展示。 比较重。每周作业2h以上，有时间的话还可以根据老师课堂上提出的问题发博文。期末要交一次大作业（论文或视频）。感觉大家这三项都很卷。 50%考试+25%大作业（好像是）+25%平时，期末考考的特别特别特别细致，但是内容不会超出作业涉及的知识范畴。50道填空+15道选择+10道判断+4道简答+两道论述 生命科学学院
 植物学实验 魏先芹,阮维斌 百分制/绩点制 实验课就别缺勤了，会要求每节课前交预习报告 85-89/3.5-3.9 老师人非常好，会带着逛校园看植物，解剖植物时带着我们做，真能学到不少东西 需要写预习报告，平时作业是拍80种校园植物并制作检索表 无，据说期末成绩每次实验报告都会占分，平时作业也是 生命科学学院
 植物学基础研讨 门淑珍 百分制/绩点制 小班制，少一个人会很明显 85-89/3.5-3.9 老师给分还不错，分数是根据pre、在其他同学pre后有没有提问、提问的内容定的_授课内容：无 无 自己做一个十五到二十分钟的pre，听班上其他人pre。课程时间不长，所有人展示完就结课了。 生命科学学院
 普通生态学 任安芝 百分制/绩点制 雨课堂 80-84/3.0-3.4 讲的不好，很古板，上课可以不去，雨课堂到了就行，雨课堂会发题，占分 有三个雨课堂作业要写 开卷，找不到答案 生命科学学院
 无机及分析化学实验 李一峻 百分制/绩点制 得来 85-89/3.5-3.9 滴定实验挺有意思 最简单的基础实验 没有期末，平常做好实验就好 生命科学学院
   百分制/绩点制 一人一个实验台，没来很明显 90-94/4.0 老师很耐心，课程很简单，上课就滴定，结束的比较快，实验很简单。给分很好 写实验报告，本次的实验数据和下一次的实验记录，不会占用太多时间 无考试，只看每次实验分 生命科学学院
 无机及分析化学 顾文 百分制/绩点制 点过几次 75以下/2.5以下 不错挺好的 正常作业量 还行 生命科学学院
   百分制/绩点制 不点名 75-79/2.5-2.9 老师好 复习书上题 不难闭卷 生命科学学院
 动物学实验 贺秉军 百分制/绩点制 实验课必须到 90-94/4.0 动物分类学知识，解剖技巧，器官辨别_老师风格比较随意，对学生很宽容，很愿意和学生混熟，而且教的学生基本上都能认出来，但是对实验报告比较严谨。 解剖动物，观察动物结构，然后写实验报告描述器官特点与分类依据，对语言的简洁严谨要求较高，还需要手绘解剖动物结构简图，对美术没要求，但是必须严格符合生物作图规范，每节课一次，基本都要写三大页纸密密麻麻，大二上作业压力主要来源，作图的话如果自己对美术没有要求工作量一般。（但是隔壁班不作图） 实验报告+闭卷考试，考分类知识和解剖知识，主要是问图中的结构是什么，不难，实验课讲课时少玩点手机就没事，而且只占10分。实验报告是大头，助教给分，有问题一定要及时找助教询问，我们这一届助教比较公正，按照语言简洁程度和报告规范程度给分，没有出现很严重的乱卷报告现象。 生命科学学院
 普通生物学 贺秉军,石福臣 百分制/绩点制 石福臣老师经常点名 80-84/3.0-3.4 节奏有点快 平时没什么作业 闭卷考试，难度一般 生命科学学院
 药物研究概论 李月明 百分制/绩点制 完全不点名，最后只有一点点人去 90-94/4.0 老师人太好了，最后只有几个人去上课也没点名，还考虑大家是不是天太冷了 两次作业，比较轻松 论文结课，也是不算太难，给分在D里算不错的，基本都有85+，我写的挺认真就是90+ 生命科学学院
