 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 材料导论 刘双喜 百分制/绩点制 每节课都有签到，会拍照记录人数，课堂有点名 90-94/4.0 授课内容可听可不听，老师比较风趣管理较松，能够学到材料相关的较为基础的知识（建立于无机化学和材料学的相关内容之上，无门槛） 平时可能会有小论文，小pre和辩论赛，频率较低且要求不严，不需要耗费过多精力。 考核形式多样，但一般不以考试展开。可能有自己命题、辩论、论文或小作文的形式展开，最后综合给出成绩，与课程内容关联不大，课上完成即可，难度较小，水 材料科学与工程学院
   百分制/绩点制 签到 85-89/3.5-3.9 老师人超级好，主动展示或者最终参加辩论赛会加分 基本没什么作业，作业很少 考核方式比较灵活，我当时是写了一个一千字的作文 材料科学与工程学院
 物理化学2-1 常泽 百分制/绩点制 不点不签到,除了交作业 80-84/3.0-3.4 老师非常好,讲的很细致,很爱他 期末有论文pre,占比也不算很大,有习题课 非,常,难,有机物化必有一挂,可想而知,想要学的好必须要从头到尾跟上,不然的话突击很难的,有网课,可以上b站大学找学长讲的课,清楚细致 材料科学与工程学院
 材料结构分析 尹君,陈铁红,唐祥海 百分制/绩点制 签到（雨课堂扫码） 85-89/3.5-3.9 陈老师讲得偏物理（尤其是核磁），唐老师xrd比较有经验；这个课需要分出精力很多才能学好，而且陈老师这边有量子力学基础会比较好接受 一般除了章节测试（雨课堂小测，两个老师都有），还有平时作业（唐老师似乎习惯在后半程留作业） 闭卷考试，好好准备陈老师的内容吧（去年两三道读图简答全是陈老师讲的），尹君老师去年没带这门课，不知道会教哪些 材料科学与工程学院
 无机化学实验2-1 刘胜 百分制/绩点制 不点名，但每个实验台有对应的人，能看出来谁没到 85-89/3.5-3.9 李姝老师比较幽默，雷厉风行，刘胜老师比较和蔼，讲课都非常具体明白 都是课上任务 做一个实验 材料科学与工程学院
 无机及分析化学实验 叶世海 百分制/绩点制 必上 85-89/3.5-3.9 老师很温柔，实验快结束 轻松 无 材料科学与工程学院
 无机及分析化学 刘剑 百分制/绩点制 没有点名 80-84/3.0-3.4 老师人不错，就是上课有点无聊，照着ppt念，主要还是靠自学 作业有点多，有部分难度大，而且搜不到答案 期末考试 材料科学与工程学院
   百分制/绩点制 很少点名 75以下/2.5以下 老师特别好，很有意思 就正常每周留作业 无额外考试 材料科学与工程学院
   百分制/绩点制 每节课扫码签到 75-79/2.5-2.9 老师讲课氛围中规中矩，但是课堂内容充实 课下经常会布置题目，课上收 闭卷考试，需要下功夫 材料科学与工程学院
   百分制/绩点制 无 90-94/4.0 刀子嘴豆腐心，会捞人 平时作业写好即可 统一卷子 材料科学与工程学院
  叶世海 百分制/绩点制 签到 90-94/4.0 老师非常的有趣，讲课比较快 平时需要复习 闭卷考试，不难，挺基础 材料科学与工程学院
   百分制/绩点制 不签到 85-89/3.5-3.9 老师很好 课下有作业 闭卷考试，平时30%.期末70% 材料科学与工程学院
 改变世界的材料 刘双喜 百分制/绩点制 每节课都有签到，课上存在点名 90-94/4.0 内容关于材料学院的各个研究方向，会邀请各研究领域的老师来讲课，能有很大收获 无过多平时任务，完成知到网课即可，难度小耗费精力小 考核形式不一定，我们这届是在期末写下讲过课的各位老师的名字、研究领域与感受或对催化材料的认识，课堂上完成，难度较小 材料科学与工程学院
 材料力学 刘俊庆 百分制/绩点制 老师会偶尔点一两次名 90-94/4.0 老师讲课特别细致，重点会反复讲到，课下几乎不用怎么复习也能拿高分，真的能学到东西！ 平时几乎没作业，考试前老师会布置一些让学生自己总结重难点的作业 只有一次闭卷考试，完全不怎么占用时间 材料科学与工程学院
 催化材料 刘双喜 百分制/绩点制 点名 90-94/4.0 老师自然是幽默风趣（刘老师带的课很多，想必大家都见过）；对分子筛感兴趣的同学们，在此打个广告，赶快来选呀 灵活的平时作业，课上讨论如果答对据说可以提高平时分 闭卷考试（好像是五五开）；材料物理的同学，如果你们害怕占用复习时间，也可以不选（去年PPT很多，但是最后一节课老师会口述重点） 材料科学与工程学院
 机械制图 赵俏 百分制/绩点制 老师会在人少的时候点名，会留一道题当堂交，当做点名了 75以下/2.5以下 讲的挺好 每次课后都有作业，但是可以找学长学姐要 期末闭卷考试，难度不高 材料科学与工程学院
