 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 计算方法 孙桂玲 百分制/绩点制 一学期随机两次签到 90-94/4.0 特别好！讲的很清楚 一学期只有四次作业，很简单 考试会划重点，只要平时认真学，卷子也很简单 电子信息与光学工程学院
 电路基础 周铁戈 百分制/绩点制 不点名 80-84/3.0-3.4 讲的一般，老师开学会发全部的ppt，很适合自学 作业不多 20分平时分，20分实验分，期末考试占百分之六十，期末考试前会发四套样卷，把样卷搞明白了考试问题不大 电子信息与光学工程学院
   百分制/绩点制 不点名不签到 95+ 老师讲得很慢，有点冷幽默 作业很少 给分很好 电子信息与光学工程学院
 面向下一代网的光网络与集成电路技术 刘会刚 通过制 节节课签到  想拓宽知识面可以来听，有一个至少15页的小组大作业，个人感觉强度较大 小组作业 无 电子信息与光学工程学院
 电磁学 刘永基 百分制/绩点制 雨课堂签到 80-84/3.0-3.4 老师讲授相当生动，比网课强 一周一次作业，任务量略大 考试 电子信息与光学工程学院
  刘玮 百分制/绩点制 课上经常提问，没有签到 90-94/4.0 讲课比较有趣，课上的题也会仔细讲解 前期作业较多，后期很少，搜题都可以搜到 闭卷，考试难度偏低，作业会写就基本没问题 电子信息与光学工程学院
 模拟电子技术 肖纯贤 百分制/绩点制 偶尔签到 90-94/4.0 肖老师人很好，能认真解答同学们的问题，非常严谨认真（给分也是），题目都会自己手推一遍。课上会给同学们补充一些习题，而且讲课风格很好（忽略老师拿麦克风忽远忽近的问题），会学到很多其他老师那里学不到的东西 基本每周一次作业 闭卷 电子信息与光学工程学院
 电磁场理论 韩士莹 百分制/绩点制 点名 90-94/4.0 老师性格挺好的，授课内容难度大，但期末考作业题和ppt例题，给分高 作业不多，但难，要认真做，期末会考 期末考试结课，考作业题和ppt例题 电子信息与光学工程学院
 射频与微波技术 何明 百分制/绩点制 签到 90-94/4.0 老师人挺好，知识点不难，尤其是对于电信专业必修二选一的学生来说，选这个应该比下学期的数字信号处理要容易 作业很少，每次作业会留两周时间写 期末考试结课，考试不难，老师期末前好像会有总结（记不太清了） 电子信息与光学工程学院
 大学物理（二） 卢峰,李跃龙 百分制/绩点制 签到 95+ 水课，听课不如自学，老师也很抽象 课上事情很多，要举手发言，偶尔还有小测。期末要提交两次课堂报告 闭卷 电子信息与光学工程学院
 大学物理（三） 何炜瑜 百分制/绩点制 不签到 95+ 这门课内容挺抽象的，老师讲的也很快，但老师人很好，期末重点非常详细，给分超好 平均每周一次作业 闭卷 电子信息与光学工程学院
   百分制/绩点制 不点名 未出分 照本宣科，完全不关心学生是否理解，只顾完成任务式地读课件 作业少而困难 闭卷考试，比较难 电子信息与光学工程学院
 EDA基础及应用 司敏山 百分制/绩点制 点名 85-89/3.5-3.9 虽然要学VHDL，但内容挺水的，期末会有重点，重点很少 我记得好像没作业，实验课可以直接抄讲义上的内容模仿 期末考试结课，会给重点，重点不多，占用复习时间少 电子信息与光学工程学院
 热学 张昊 百分制/绩点制 上课会随缘点人回答问题，几乎不考勤 75以下/2.5以下 全英授课，很容易听不下去，老师人很好，很负责，也会让他带的研究生学长学姐分享经验 布置的时候一两题，不是每周都有作业 开卷考试，不是一门水课，建议认真学的同学上，有选择填空，翻译，英语简答题，计算题关注后面两章 电子信息与光学工程学院
 认知实习 吴虹,王维_华,范飞,郭_澎,何明 百分制/绩点制 点名 90-94/4.0 按专业分学习内容，不能自己选比较难受 无 考学习内容的上手操作，工业机器人的很简单 电子信息与光学工程学院
 力学 刘永基 百分制/绩点制 扫码签到 90-94/4.0 老师人很好讲的详细听得懂 作业不多，都是要考的 闭卷考试，不太难都是作业 电子信息与光学工程学院
   百分制/绩点制 基本不点名不签到 85-89/3.5-3.9 老师课讲得挺好，比较清晰易懂，课前会让大家回顾上次课内容 作业量比较少通常是几个题_80%期末考试20%平时成绩 当时老师暗示了期末考试考试题而且老师会捞人 电子信息与光学工程学院
   百分制/绩点制 签到 80-84/3.0-3.4 老师人很好，考试会捞学生。个别知识点讲解不够清楚，但是很认真负责，平时分给得很高。 《力学》课后习题，全校统一布置的习题。有的题比较难，但是整体简单（认真听课就能做出来），占用精力大约一周1.5h。 期末闭卷考试；填空题和大题；大题为平时作业题改编，填空题难度较大。 电子信息与光学工程学院
  李玉栋 百分制/绩点制 签到 75以下/2.5以下 老师讲的一般般，听不太懂，不推荐 有课后作业，几个习题 闭卷考试，难度不大，打好基础就行，记得考前复习一下作业题，有原题 电子信息与光学工程学院
   百分制/绩点制 偶尔手机课堂派习题作为点名 85-89/3.5-3.9 讲的一般，念ppt 课后几题作业，很少 闭卷，都是讲过的题目 电子信息与光学工程学院
